Tecnologias;AÒo;Porcentaje;;;
Inteligencia Artificial (IA);2017;20;;;
Inteligencia Artificial (IA);2018;30;;;
Inteligencia Artificial (IA);2019;40;;;
Inteligencia Artificial (IA);2020;50;;;
Inteligencia Artificial (IA);2021;60;;;
Inteligencia Artificial (IA);2022;70;;;
Inteligencia Artificial (IA);2023;80;;;
Big Data;2017;25;;;
Big Data;2018;35;;;
Big Data;2019;45;;;
Big Data;2020;50;;;
Big Data;2021;55;;;
Big Data;2022;60;;;
Big Data;2023;65;;;
Cloud Computing;2017;40;;;
Cloud Computing;2018;50;;;
Cloud Computing;2019;60;;;
Cloud Computing;2020;70;;;
Cloud Computing;2021;75;;;
Cloud Computing;2022;80;;;
Cloud Computing;2023;85;;;
Desarrollo √Ågil;2017;50;;;
Desarrollo √Ågil;2018;55;;;
Desarrollo √Ågil;2019;60;;;
Desarrollo √Ågil;2020;65;;;
Desarrollo √Ågil;2021;70;;;
Desarrollo √Ågil;2022;75;;;
Desarrollo √Ågil;2023;80;;;
Ciberseguridad;2017;30;;;
Ciberseguridad;2018;40;;;
Ciberseguridad;2019;50;;;
Ciberseguridad;2020;60;;;
Ciberseguridad;2021;70;;;
Ciberseguridad;2022;80;;;
Ciberseguridad;2023;85;;;
Blockchain;2017;10;;;
Blockchain;2018;20;;;
Blockchain;2019;30;;;
Blockchain;2020;40;;;
Blockchain;2021;50;;;
Blockchain;2022;60;;;
Blockchain;2023;70;;;
DevOps;2017;15;;;
DevOps;2018;25;;;
DevOps;2019;35;;;
DevOps;2020;45;;;
DevOps;2021;55;;;
DevOps;2022;65;;;
DevOps;2023;75;;;
IoT (Internet of Things);2017;20;;;
IoT (Internet of Things);2018;30;;;
IoT (Internet of Things);2019;40;;;
IoT (Internet of Things);2020;50;;;
IoT (Internet of Things);2021;60;;;
IoT (Internet of Things);2022;70;;;
IoT (Internet of Things);2023;80;;;
Realidad Virtual/Aumentada;2017;5;;;
Realidad Virtual/Aumentada;2018;10;;;
Realidad Virtual/Aumentada;2019;20;;;
Realidad Virtual/Aumentada;2020;30;;;
Realidad Virtual/Aumentada;2021;40;;;
Realidad Virtual/Aumentada;2022;50;;;
Realidad Virtual/Aumentada;2023;60;;;
Low-Code/No-Code;2017;8;;;
Low-Code/No-Code;2018;12;;;
Low-Code/No-Code;2019;16;;;
Low-Code/No-Code;2020;20;;;
Low-Code/No-Code;2021;24;;;
Low-Code/No-Code;2022;28;;;
Low-Code/No-Code;2023;32;;;
